17089|A|0|0|0|0|0|1|2016-03-04 00:00:02|2016-03-03 23:58:32|121.484732|31.237330|6.6|273.0|7|005|A|0|1|1|0|1|2|2016-03-04 00:00:02|2016-03-03 23:58:19|121.484780|31.237312|2.5|258.0|8|007
23413|A|0|0|0|0|0|1|2016-03-04 00:00:27|2016-03-04 00:00:10|121.443183|31.212083|0.0|211.0|7|000|A|0|1|1|0|0|2|2016-03-04 00:00:28|2016-03-04 00:00:11|121.443185|31.212087|0.0|211.0|7|000
23548|A|0|0|0|0|0|1|2016-03-04 00:00:35|2016-03-04 00:00:18|121.485405|31.206353|0.0|51.0|8|000|A|0|1|1|0|0|2|2016-03-04 00:00:37|2016-03-04 00:00:20|121.485405|31.206353|0.0|51.0|9|000
26423|A|0|0|0|0|0|1|2016-03-04 00:01:03|2016-03-04 00:00:46|121.346308|31.178060|13.9|220.0|9|000|A|0|1|1|0|0|2|2016-03-04 00:01:09|2016-03-04 00:00:52|121.346217|31.177622|20.3|167.0|11|017
11810|A|0|0|0|0|0|1|2016-03-04 00:01:52|2016-03-03 23:50:40|121.395857|31.110178|24.9|328.0|11|024|A|0|1|1|0|1|2|2016-03-04 00:01:52|2016-03-03 23:50:23|121.396017|31.109958|13.8|334.0|11|011
26922|A|0|0|1|0|0|1|2016-03-04 00:01:57|2016-03-04 00:00:34|121.513673|31.311593|16.3|94.0|10|000|A|0|1|1|0|0|2|2016-03-04 00:01:57|2016-03-03 23:59:43|121.513665|31.311593|0.0|94.0|9|000
23453|A|0|0|0|0|0|1|2016-03-04 00:02:01|2016-03-04 00:01:42|121.512247|31.142203|0.0|258.0|9|000|A|0|1|1|0|0|2|2016-03-04 00:02:01|2016-03-04 00:01:45|121.512247|31.142203|0.0|258.0|8|000
17449|A|0|0|1|0|1|1|2016-03-04 00:02:03|2016-03-03 23:55:43|121.389938|31.093772|13.7|94.0|9|011|A|0|1|1|0|1|2|2016-03-04 00:02:03|2016-03-03 23:55:33|121.389897|31.093833|0.0|257.0|8|000
17449|A|0|0|0|0|1|1|2016-03-04 00:02:03|2016-03-03 23:56:06|121.391293|31.094315|14.2|65.0|9|014|A|0|1|1|0|1|2|2016-03-04 00:02:03|2016-03-03 23:55:23|121.389898|31.093830|0.0|257.0|8|000
17271|A|0|0|1|0|0|1|2016-03-04 00:02:27|2016-03-03 23:49:58|121.380623|31.140030|46.0|64.0|10|046-|A|0|1|0|0|0|2|2016-03-04 00:02:30|2016-03-03 23:55:13|121.397262|31.154655|16.0|336.0|8|016-
23670|A|0|0|0|0|0|1|2016-03-04 00:01:38|2016-03-04 00:01:19|121.464157|31.237503|15.7|63.0|8|015|A|0|1|1|0|0|2|2016-03-04 00:02:34|2016-03-04 00:02:17|121.465250|31.238287|0.0|323.0|9|000
25256|A|0|0|0|0|0|1|2016-03-04 00:02:49|2016-03-04 00:01:41|121.410570|31.214697|39.7|86.0|6|042|A|0|1|1|0|1|2|2016-03-04 00:02:49|2016-03-04 00:02:02|121.411487|31.214717|0.0|63.0|7|000
17691|A|0|0|0|0|0|1|2016-03-04 00:03:21|2016-03-03 23:59:37|121.484575|31.237292|22.2|307.0|7|015|A|0|1|1|0|0|2|2016-03-04 00:03:21|2016-03-03 23:59:29|121.484710|31.237323|0.0|253.0|7|000
17691|A|0|0|0|0|0|1|2016-03-04 00:03:21|2016-03-03 23:59:36|121.484618|31.237303|19.2|257.0|8|014|A|0|1|1|0|0|2|2016-03-04 00:03:21|2016-03-03 23:59:19|121.484710|31.237323|2.9|253.0|8|000
26377|A|0|0|0|0|0|1|2016-03-04 00:02:30|2016-03-04 00:02:14|121.379315|31.174417|13.0|248.0|8|013|A|0|1|1|0|0|2|2016-03-04 00:03:41|2016-03-04 00:03:25|121.372140|31.172335|3.5|261.0|8|001
